"id","type","id_allocine"
"1","Long-métrage","1628"
"2","Long-métrage","115362"
"3","Long-métrage","9393"
"4","Long-métrage","10126"
"5","Long-métrage","39187"
"6","Long-métrage","19395"
"7","Long-métrage","21189"
"8","Long-métrage","10568"
"9","Long-métrage","25802"
"10","Long-métrage","143692"
"11","Long-métrage","39186"
"12","Long-métrage","2072"
"13","Long-métrage","5969"
"14","Long-métrage","19776"
"15","Long-métrage","245046"
"16","Long-métrage","6641"
"17","Long-métrage","5762"
"18","Long-métrage","12837"
"19","Long-métrage","1453"
"20","Long-métrage","18598"
"21","Long-métrage","37485"
"22","Long-métrage","12475"
"23","Long-métrage","114782"
"24","Long-métrage","22779"
"25","Long-métrage","1603"
"26","Long-métrage","2645"
"27","Long-métrage","182745"
"28","Long-métrage","1832"
"29","Long-métrage","121"
"30","Long-métrage","28359"
"31","Long-métrage","7124"
"32","Long-métrage","448"
"33","Long-métrage","225953"
"34","Long-métrage","24944"
"35","Long-métrage","108998"
"36","Long-métrage","10862"
"37","Long-métrage","25744"
"38","Long-métrage","27061"
"39","Long-métrage","2253"
"40","Long-métrage","680"
"41","Long-métrage","213698"
"42","Long-métrage","10251"
"43","Long-métrage","4499"
"44","Long-métrage","190918"
"45","Long-métrage","863"
"46","Long-métrage","123734"
"47","Long-métrage","197686"
"48","Long-métrage","21946"
"49","Long-métrage","132874"
"50","Long-métrage","54137"
"51","Long-métrage","2167"
"52","Long-métrage","251273"
"53","Long-métrage","4616"
"54","Long-métrage","857"
"55","Long-métrage","980"
"56","Long-métrage","531"
"57","Long-métrage","25803"
"58","Long-métrage","10080"
"59","Long-métrage","7524"
"60","Long-métrage","418"
"61","Long-métrage","147116"
"62","Long-métrage","252439"
"63","Long-métrage","4749"
"64","Long-métrage","105"
"65","Long-métrage","67"
"66","Long-métrage","40191"
"67","Long-métrage","308"
"68","Long-métrage","42792"
"69","Long-métrage","2749"
"70","Long-métrage","5120"
"71","Long-métrage","14264"
"72","Long-métrage","176535"
"73","Long-métrage","33353"
"74","Long-métrage","126123"
"75","Long-métrage","60208"
"76","Long-métrage","240850"
"77","Long-métrage","2570"
"78","Long-métrage","2255"
"79","Long-métrage","363"
"80","Long-métrage","3243"
"81","Long-métrage","929"
"82","Long-métrage","12032"
"83","Long-métrage","227932"
"84","Long-métrage","240"
"85","Long-métrage","231088"
"86","Long-métrage","33286"
"87","Long-métrage","190774"
"88","Long-métrage","51013"
"89","Long-métrage","26186"
"90","Long-métrage","7663"
"91","Long-métrage","58349"
"92","Long-métrage","950"
"93","Long-métrage","14046"
"94","Long-métrage","14824"
"95","Long-métrage","41569"
"96","Long-métrage","2604"
"97","Long-métrage","57689"
"98","Long-métrage","14790"
"99","Long-métrage","45970"
"100","Long-métrage","7545"
"101","Long-métrage","171223"
"102","Long-métrage","196960"
"103","Long-métrage","1627"
"104","Long-métrage","227079"
"105","Long-métrage","19298"
"106","Long-métrage","14178"
"107","Long-métrage","1975"
"108","Long-métrage","180"
"109","Long-métrage","58911"
"110","Long-métrage","4032"
"111","Long-métrage","127524"
"112","Long-métrage","138673"
"113","Long-métrage","14788"
"114","Long-métrage","135063"
"115","Long-métrage","27782"
"116","Long-métrage","115"
"117","Long-métrage","29714"
"118","Long-métrage","14928"
"119","Long-métrage","1048"
"120","Long-métrage","110096"
"121","Long-métrage","16463"
"122","Long-métrage","17646"
"123","Long-métrage","29057"
"124","Long-métrage","986"
"125","Long-métrage","109788"
"126","Long-métrage","40646"
"127","Long-métrage","2688"
"128","Long-métrage","3984"
"129","Long-métrage","259498"
"130","Long-métrage","109576"
"131","Court-métrage","222528"
"132","Long-métrage","229490"
"133","Long-métrage","264"
"134","Long-métrage","139621"
"135","Long-métrage","217882"
"136","Long-métrage","132039"
"137","Long-métrage","110101"
"138","Long-métrage","1557"
"139","Long-métrage","249"
"140","Long-métrage","225116"
"141","Long-métrage","221270"
"142","Long-métrage","223252"
"143","Long-métrage","29700"
"144","Long-métrage","2513"
"145","Long-métrage","46077"
"146","Long-métrage","181037"
"147","Long-métrage","195370"
"148","Long-métrage","1532"
"149","Long-métrage","207825"
"150","Long-métrage","62178"
"151","Long-métrage","55483"
"152","Long-métrage","196885"
"153","Long-métrage","125054"
"154","Long-métrage","56714"
"155","Long-métrage","222271"
"156","Long-métrage","702"
"157","Long-métrage","559"
"158","Long-métrage","26066"
"159","Long-métrage","128959"
"160","Long-métrage","1809"
"161","Long-métrage","3326"
"162","Long-métrage","38493"
"163","Long-métrage","4479"
"164","Long-métrage","71577"
"165","Long-métrage","180887"
"166","Long-métrage","134925"
"167","Long-métrage","28251"
"168","Long-métrage","3732"
"169","Long-métrage","2596"
"170","Long-métrage","34193"
"171","Long-métrage","26862"
"172","Long-métrage","135"
"173","Long-métrage","88"
"174","Long-métrage","309"
"175","Long-métrage","59809"
"176","Long-métrage","29738"
"177","Long-métrage","337"
"178","Long-métrage","12789"
"179","Long-métrage","51123"
"180","Long-métrage","176673"
"181","Long-métrage","263"
"182","Long-métrage","243823"
"183","Long-métrage","26389"
"184","Télefilm","126071"
"185","Long-métrage","234256"
"186","Long-métrage","26602"
"187","Long-métrage","179349"
"188","Long-métrage","4397"
"189","Long-métrage","18671"
"190","Long-métrage","299"
"191","Long-métrage","8066"
"192","Long-métrage","28384"
"193","Long-métrage","228558"
"194","Long-métrage","261469"
"195","Long-métrage","11736"
"196","Long-métrage","4063"
"197","Long-métrage","27070"
"198","Long-métrage","297"
"199","Long-métrage","25801"
"200","Long-métrage","45264"
"201","Long-métrage","127650"
"202","Long-métrage","2021"
"203","Long-métrage","2256"
"204","Long-métrage","55983"
"205","Long-métrage","62"
"206","Long-métrage","836"
"207","Long-métrage","4989"
"208","Long-métrage","73176"
"209","Long-métrage","4884"
"210","Long-métrage","1941"
"211","Long-métrage","27063"
"212","Long-métrage","260"
"213","Long-métrage","27442"
"214","Long-métrage","248"
"215","Long-métrage","2252"
"216","Long-métrage","253743"
"217","Long-métrage","5032"
"218","Long-métrage","1596"
"219","Long-métrage","111471"
"220","Long-métrage","130368"
"221","Long-métrage","7158"
"222","Long-métrage","4019"
"223","Long-métrage","1826"
"224","Long-métrage","38827"
"225","Long-métrage","2260"
"226","Long-métrage","1602"
"227","Long-métrage","548"
"228","Long-métrage","2640"
"229","Long-métrage","108016"
"230","Long-métrage","700"
"231","Long-métrage","22092"
"232","Long-métrage","88396"
"233","Long-métrage","9430"
"234","Long-métrage","40132"
"235","Long-métrage","1268"
"236","Long-métrage","215097"
"237","Long-métrage","25308"
"238","Long-métrage","29757"
"239","Long-métrage","5280"
"240","Long-métrage","1621"
"241","Long-métrage","46117"
"242","Long-métrage","35973"
"243","Long-métrage","983"
"244","Long-métrage","8488"
"245","Long-métrage","28541"
"246","Long-métrage","89957"
"247","Long-métrage","772"
"248","Long-métrage","12551"
"249","Long-métrage","111643"
"250","Long-métrage","50409"
"251","Long-métrage","28201"
"252","Long-métrage","9684"
"253","Long-métrage","773"
"254","Long-métrage","228263"
"255","Long-métrage","13892"
"256","Long-métrage","26251"
"257","Long-métrage","2495"
"258","Long-métrage","108917"
"259","Long-métrage","43986"
"260","Long-métrage","37412"
"261","Long-métrage","52715"
"262","Long-métrage","29718"
"263","Long-métrage","15829"
"264","Long-métrage","13665"
"265","Long-métrage","89979"
